nom_plante,numero_etape,titre_etape,description_etape
Lentille,4,Apporter de la lumière,"Placer la plante dans un endroit bien éclairé, sans soleil direct excessif."
Lentille,5,Entretenir et fertiliser,Ajouter de l’engrais naturel et retirer les feuilles mortes.
Pois,1,Préparer le sol,Choisir un sol riche et bien drainé pour une croissance optimale.
Pois,2,Planter la graine,Planter la graine à une profondeur adaptée et arroser légèrement.
Pois,3,Arroser régulièrement,Maintenir une humidité constante sans excès d’eau.
Pois,4,Apporter de la lumière,"Placer la plante dans un endroit bien éclairé, sans soleil direct excessif."
Pois,5,Entretenir et fertiliser,Ajouter de l’engrais naturel et retirer les feuilles mortes.
Soja,1,Préparer le sol,Choisir un sol riche et bien drainé pour une croissance optimale.
Soja,2,Planter la graine,Planter la graine à une profondeur adaptée et arroser légèrement.
Soja,3,Arroser régulièrement,Maintenir une humidité constante sans excès d’eau.
Soja,4,Apporter de la lumière,"Placer la plante dans un endroit bien éclairé, sans soleil direct excessif."
Soja,5,Entretenir et fertiliser,Ajouter de l’engrais naturel et retirer les feuilles mortes.
Caféier,1,Préparer le sol,Choisir un sol riche et bien drainé pour une croissance optimale.
Caféier,2,Planter la graine,Planter la graine à une profondeur adaptée et arroser légèrement.
Caféier,3,Arroser régulièrement,Maintenir une humidité constante sans excès d’eau.
Caféier,4,Apporter de la lumière,"Placer la plante dans un endroit bien éclairé, sans soleil direct excessif."
Caféier,5,Entretenir et fertiliser,Ajouter de l’engrais naturel et retirer les feuilles mortes.
Cacaoyer,1,Préparer le sol,Choisir un sol riche et bien drainé pour une croissance optimale.
Cacaoyer,2,Planter la graine,Planter la graine à une profondeur adaptée et arroser légèrement.
Cacaoyer,3,Arroser régulièrement,Maintenir une humidité constante sans excès d’eau.
Cacaoyer,4,Apporter de la lumière,"Placer la plante dans un endroit bien éclairé, sans soleil direct excessif."
Cacaoyer,5,Entretenir et fertiliser,Ajouter de l’engrais naturel et retirer les feuilles mortes.
Théier,1,Préparer le sol,Choisir un sol riche et bien drainé pour une croissance optimale.
Théier,2,Planter la graine,Planter la graine à une profondeur adaptée et arroser légèrement.
Théier,3,Arroser régulièrement,Maintenir une humidité constante sans excès d’eau.
Théier,4,Apporter de la lumière,"Placer la plante dans un endroit bien éclairé, sans soleil direct excessif."
Théier,5,Entretenir et fertiliser,Ajouter de l’engrais naturel et retirer les feuilles mortes.
Vanillier,1,Préparer le sol,Choisir un sol riche et bien drainé pour une croissance optimale.
Vanillier,2,Planter la graine,Planter la graine à une profondeur adaptée et arroser légèrement.
Vanillier,3,Arroser régulièrement,Maintenir une humidité constante sans excès d’eau.
Vanillier,4,Apporter de la lumière,"Placer la plante dans un endroit bien éclairé, sans soleil direct excessif."
Vanillier,5,Entretenir et fertiliser,Ajouter de l’engrais naturel et retirer les feuilles mortes.
Bananaier,1,Préparer le sol,Choisir un sol riche et bien drainé pour une croissance optimale.
Bananaier,2,Planter la graine,Planter la graine à une profondeur adaptée et arroser légèrement.
Bananaier,3,Arroser régulièrement,Maintenir une humidité constante sans excès d’eau.
Bananaier,4,Apporter de la lumière,"Placer la plante dans un endroit bien éclairé, sans soleil direct excessif."
Bananaier,5,Entretenir et fertiliser,Ajouter de l’engrais naturel et retirer les feuilles mortes.
Manguiers,1,Préparer le sol,Choisir un sol riche et bien drainé pour une croissance optimale.
Manguiers,2,Planter la graine,Planter la graine à une profondeur adaptée et arroser légèrement.
Manguiers,3,Arroser régulièrement,Maintenir une humidité constante sans excès d’eau.
Manguiers,4,Apporter de la lumière,"Placer la plante dans un endroit bien éclairé, sans soleil direct excessif."
Manguiers,5,Entretenir et fertiliser,Ajouter de l’engrais naturel et retirer les feuilles mortes.
Papayer,1,Préparer le sol,Choisir un sol riche et bien drainé pour une croissance optimale.
Papayer,2,Planter la graine,Planter la graine à une profondeur adaptée et arroser légèrement.
Papayer,3,Arroser régulièrement,Maintenir une humidité constante sans excès d’eau.
Papayer,4,Apporter de la lumière,"Placer la plante dans un endroit bien éclairé, sans soleil direct excessif."
Papayer,5,Entretenir et fertiliser,Ajouter de l’engrais naturel et retirer les feuilles mortes.
Ananas,1,Préparer le sol,Choisir un sol riche et bien drainé pour une croissance optimale.
Ananas,2,Planter la graine,Planter la graine à une profondeur adaptée et arroser légèrement.
Ananas,3,Arroser régulièrement,Maintenir une humidité constante sans excès d’eau.
Ananas,4,Apporter de la lumière,"Placer la plante dans un endroit bien éclairé, sans soleil direct excessif."
Ananas,5,Entretenir et fertiliser,Ajouter de l’engrais naturel et retirer les feuilles mortes.
Cocotier,1,Préparer le sol,Choisir un sol riche et bien drainé pour une croissance optimale.
Cocotier,2,Planter la graine,Planter la graine à une profondeur adaptée et arroser légèrement.
Cocotier,3,Arroser régulièrement,Maintenir une humidité constante sans excès d’eau.
Cocotier,4,Apporter de la lumière,"Placer la plante dans un endroit bien éclairé, sans soleil direct excessif."
Cocotier,5,Entretenir et fertiliser,Ajouter de l’engrais naturel et retirer les feuilles mortes.
Palmier dattier,1,Préparer le sol,Choisir un sol riche et bien drainé pour une croissance optimale.
Palmier dattier,2,Planter la graine,Planter la graine à une profondeur adaptée et arroser légèrement.
Palmier dattier,3,Arroser régulièrement,Maintenir une humidité constante sans excès d’eau.
Palmier dattier,4,Apporter de la lumière,"Placer la plante dans un endroit bien éclairé, sans soleil direct excessif."
Palmier dattier,5,Entretenir et fertiliser,Ajouter de l’engrais naturel et retirer les feuilles mortes.
Baobab,1,Préparer le sol,Choisir un sol riche et bien drainé pour une croissance optimale.
Baobab,2,Planter la graine,Planter la graine à une profondeur adaptée et arroser légèrement.
Baobab,3,Arroser régulièrement,Maintenir une humidité constante sans excès d’eau.
Baobab,4,Apporter de la lumière,"Placer la plante dans un endroit bien éclairé, sans soleil direct excessif."
Baobab,5,Entretenir et fertiliser,Ajouter de l’engrais naturel et retirer les feuilles mortes.
Bambou,1,Préparer le sol,Choisir un sol riche et bien drainé pour une croissance optimale.
Bambou,2,Planter la graine,Planter la graine à une profondeur adaptée et arroser légèrement.
Bambou,3,Arroser régulièrement,Maintenir une humidité constante sans excès d’eau.
Bambou,4,Apporter de la lumière,"Placer la plante dans un endroit bien éclairé, sans soleil direct excessif."
Bambou,5,Entretenir et fertiliser,Ajouter de l’engrais naturel et retirer les feuilles mortes.
Gingembre,1,Préparer le sol,Choisir un sol riche et bien drainé pour une croissance optimale.
Gingembre,2,Planter la graine,Planter la graine à une profondeur adaptée et arroser légèrement.
Gingembre,3,Arroser régulièrement,Maintenir une humidité constante sans excès d’eau.
Gingembre,4,Apporter de la lumière,"Placer la plante dans un endroit bien éclairé, sans soleil direct excessif."
Gingembre,5,Entretenir et fertiliser,Ajouter de l’engrais naturel et retirer les feuilles mortes.
Curcuma,1,Préparer le sol,Choisir un sol riche et bien drainé pour une croissance optimale.
Curcuma,2,Planter la graine,Planter la graine à une profondeur adaptée et arroser légèrement.
Curcuma,3,Arroser régulièrement,Maintenir une humidité constante sans excès d’eau.
Curcuma,4,Apporter de la lumière,"Placer la plante dans un endroit bien éclairé, sans soleil direct excessif."
Curcuma,5,Entretenir et fertiliser,Ajouter de l’engrais naturel et retirer les feuilles mortes.
Arbousier,1,Préparer le sol,Choisir un sol riche et bien drainé pour une croissance optimale.
Arbousier,2,Planter la graine,Planter la graine à une profondeur adaptée et arroser légèrement.
Arbousier,3,Arroser régulièrement,Maintenir une humidité constante sans excès d’eau.
Arbousier,4,Apporter de la lumière,"Placer la plante dans un endroit bien éclairé, sans soleil direct excessif."
Arbousier,5,Entretenir et fertiliser,Ajouter de l’engrais naturel et retirer les feuilles mortes.
Groseillier,1,Préparer le sol,Choisir un sol riche et bien drainé pour une croissance optimale.
Groseillier,2,Planter la graine,Planter la graine à une profondeur adaptée et arroser légèrement.
Groseillier,3,Arroser régulièrement,Maintenir une humidité constante sans excès d’eau.
Groseillier,4,Apporter de la lumière,"Placer la plante dans un endroit bien éclairé, sans soleil direct excessif."
Groseillier,5,Entretenir et fertiliser,Ajouter de l’engrais naturel et retirer les feuilles mortes.
Framboisier,1,Préparer le sol,Choisir un sol riche et bien drainé pour une croissance optimale.
Framboisier,2,Planter la graine,Planter la graine à une profondeur adaptée et arroser légèrement.
Framboisier,3,Arroser régulièrement,Maintenir une humidité constante sans excès d’eau.
Framboisier,4,Apporter de la lumière,"Placer la plante dans un endroit bien éclairé, sans soleil direct excessif."
Framboisier,5,Entretenir et fertiliser,Ajouter de l’engrais naturel et retirer les feuilles mortes.
Mûrier,1,Préparer le sol,Choisir un sol riche et bien drainé pour une croissance optimale.
Mûrier,2,Planter la graine,Planter la graine à une profondeur adaptée et arroser légèrement.
Mûrier,3,Arroser régulièrement,Maintenir une humidité constante sans excès d’eau.
Mûrier,4,Apporter de la lumière,"Placer la plante dans un endroit bien éclairé, sans soleil direct excessif."
Mûrier,5,Entretenir et fertiliser,Ajouter de l’engrais naturel et retirer les feuilles mortes.
Myrtillier,1,Préparer le sol,Choisir un sol riche et bien drainé pour une croissance optimale.
Myrtillier,2,Planter la graine,Planter la graine à une profondeur adaptée et arroser légèrement.
Myrtillier,3,Arroser régulièrement,Maintenir une humidité constante sans excès d’eau.
Myrtillier,4,Apporter de la lumière,"Placer la plante dans un endroit bien éclairé, sans soleil direct excessif."
Myrtillier,5,Entretenir et fertiliser,Ajouter de l’engrais naturel et retirer les feuilles mortes.
Cassis,1,Préparer le sol,Choisir un sol riche et bien drainé pour une croissance optimale.
Cassis,2,Planter la graine,Planter la graine à une profondeur adaptée et arroser légèrement.
Cassis,3,Arroser régulièrement,Maintenir une humidité constante sans excès d’eau.
Cassis,4,Apporter de la lumière,"Placer la plante dans un endroit bien éclairé, sans soleil direct excessif."
Cassis,5,Entretenir et fertiliser,Ajouter de l’engrais naturel et retirer les feuilles mortes.
Canne à sucre,1,Préparer le sol,Choisir un sol riche et bien drainé pour une croissance optimale.
Canne à sucre,2,Planter la graine,Planter la graine à une profondeur adaptée et arroser légèrement.
Canne à sucre,3,Arroser régulièrement,Maintenir une humidité constante sans excès d’eau.
Canne à sucre,4,Apporter de la lumière,"Placer la plante dans un endroit bien éclairé, sans soleil direct excessif."
Canne à sucre,5,Entretenir et fertiliser,Ajouter de l’engrais naturel et retirer les feuilles mortes.
Menthe poivrée,1,Préparer le sol,Choisir un sol riche et bien drainé pour une croissance optimale.
Menthe poivrée,2,Planter la graine,Planter la graine à une profondeur adaptée et arroser légèrement.
Menthe poivrée,3,Arroser régulièrement,Maintenir une humidité constante sans excès d’eau.
Menthe poivrée,4,Apporter de la lumière,"Placer la plante dans un endroit bien éclairé, sans soleil direct excessif."
Menthe poivrée,5,Entretenir et fertiliser,Ajouter de l’engrais naturel et retirer les feuilles mortes.
Eucalyptus,1,Préparer le sol,Choisir un sol riche et bien drainé pour une croissance optimale.
Eucalyptus,2,Planter la graine,Planter la graine à une profondeur adaptée et arroser légèrement.
Eucalyptus,3,Arroser régulièrement,Maintenir une humidité constante sans excès d’eau.
Eucalyptus,4,Apporter de la lumière,"Placer la plante dans un endroit bien éclairé, sans soleil direct excessif."
Eucalyptus,5,Entretenir et fertiliser,Ajouter de l’engrais naturel et retirer les feuilles mortes.
Châtaignier,1,Préparer le sol,Choisir un sol riche et bien drainé pour une croissance optimale.
Châtaignier,2,Planter la graine,Planter la graine à une profondeur adaptée et arroser légèrement.
Châtaignier,3,Arroser régulièrement,Maintenir une humidité constante sans excès d’eau.
Châtaignier,4,Apporter de la lumière,"Placer la plante dans un endroit bien éclairé, sans soleil direct excessif."
Châtaignier,5,Entretenir et fertiliser,Ajouter de l’engrais naturel et retirer les feuilles mortes.
Noyer,1,Préparer le sol,Choisir un sol riche et bien drainé pour une croissance optimale.
Noyer,2,Planter la graine,Planter la graine à une profondeur adaptée et arroser légèrement.
Noyer,3,Arroser régulièrement,Maintenir une humidité constante sans excès d’eau.
Noyer,4,Apporter de la lumière,"Placer la plante dans un endroit bien éclairé, sans soleil direct excessif."
Noyer,5,Entretenir et fertiliser,Ajouter de l’engrais naturel et retirer les feuilles mortes.
Pistachier,1,Préparer le sol,Choisir un sol riche et bien drainé pour une croissance optimale.
Pistachier,2,Planter la graine,Planter la graine à une profondeur adaptée et arroser légèrement.
Pistachier,3,Arroser régulièrement,Maintenir une humidité constante sans excès d’eau.
Pistachier,4,Apporter de la lumière,"Placer la plante dans un endroit bien éclairé, sans soleil direct excessif."
Pistachier,5,Entretenir et fertiliser,Ajouter de l’engrais naturel et retirer les feuilles mortes.
Amandier,1,Préparer le sol,Choisir un sol riche et bien drainé pour une croissance optimale.
Amandier,2,Planter la graine,Planter la graine à une profondeur adaptée et arroser légèrement.
Amandier,3,Arroser régulièrement,Maintenir une humidité constante sans excès d’eau.
Amandier,4,Apporter de la lumière,"Placer la plante dans un endroit bien éclairé, sans soleil direct excessif."
Amandier,5,Entretenir et fertiliser,Ajouter de l’engrais naturel et retirer les feuilles mortes.
Cèdre,1,Préparer le sol,Choisir un sol riche et bien drainé pour une croissance optimale.
Cèdre,2,Planter la graine,Planter la graine à une profondeur adaptée et arroser légèrement.
Cèdre,3,Arroser régulièrement,Maintenir une humidité constante sans excès d’eau.
Cèdre,4,Apporter de la lumière,"Placer la plante dans un endroit bien éclairé, sans soleil direct excessif."
Cèdre,5,Entretenir et fertiliser,Ajouter de l’engrais naturel et retirer les feuilles mortes.
Cycas,1,Préparer le sol,Choisir un sol riche et bien drainé pour une croissance optimale.
Cycas,2,Planter la graine,Planter la graine à une profondeur adaptée et arroser légèrement.
Cycas,3,Arroser régulièrement,Maintenir une humidité constante sans excès d’eau.
Cycas,4,Apporter de la lumière,"Placer la plante dans un endroit bien éclairé, sans soleil direct excessif."
Cycas,5,Entretenir et fertiliser,Ajouter de l’engrais naturel et retirer les feuilles mortes.
Yucca,1,Préparer le sol,Choisir un sol riche et bien drainé pour une croissance optimale.
Yucca,2,Planter la graine,Planter la graine à une profondeur adaptée et arroser légèrement.
Yucca,3,Arroser régulièrement,Maintenir une humidité constante sans excès d’eau.
Yucca,4,Apporter de la lumière,"Placer la plante dans un endroit bien éclairé, sans soleil direct excessif."
Yucca,5,Entretenir et fertiliser,Ajouter de l’engrais naturel et retirer les feuilles mortes.
Agave,1,Préparer le sol,Choisir un sol riche et bien drainé pour une croissance optimale.
Agave,2,Planter la graine,Planter la graine à une profondeur adaptée et arroser légèrement.
Agave,3,Arroser régulièrement,Maintenir une humidité constante sans excès d’eau.
Agave,4,Apporter de la lumière,"Placer la plante dans un endroit bien éclairé, sans soleil direct excessif."
Agave,5,Entretenir et fertiliser,Ajouter de l’engrais naturel et retirer les feuilles mortes.
Cactus,1,Préparer le sol,Choisir un sol riche et bien drainé pour une croissance optimale.
Cactus,2,Planter la graine,Planter la graine à une profondeur adaptée et arroser légèrement.
Cactus,3,Arroser régulièrement,Maintenir une humidité constante sans excès d’eau.
Cactus,4,Apporter de la lumière,"Placer la plante dans un endroit bien éclairé, sans soleil direct excessif."
Cactus,5,Entretenir et fertiliser,Ajouter de l’engrais naturel et retirer les feuilles mortes.
Bouleau,1,Préparer le sol,Choisir un sol riche et bien drainé pour une croissance optimale.
Bouleau,2,Planter la graine,Planter la graine à une profondeur adaptée et arroser légèrement.
Bouleau,3,Arroser régulièrement,Maintenir une humidité constante sans excès d’eau.
Bouleau,4,Apporter de la lumière,"Placer la plante dans un endroit bien éclairé, sans soleil direct excessif."
Bouleau,5,Entretenir et fertiliser,Ajouter de l’engrais naturel et retirer les feuilles mortes.
Tilleul,1,Préparer le sol,Choisir un sol riche et bien drainé pour une croissance optimale.
Tilleul,2,Planter la graine,Planter la graine à une profondeur adaptée et arroser légèrement.
Tilleul,3,Arroser régulièrement,Maintenir une humidité constante sans excès d’eau.
Tilleul,4,Apporter de la lumière,"Placer la plante dans un endroit bien éclairé, sans soleil direct excessif."
Tilleul,5,Entretenir et fertiliser,Ajouter de l’engrais naturel et retirer les feuilles mortes.
Platane,1,Préparer le sol,Choisir un sol riche et bien drainé pour une croissance optimale.
Platane,2,Planter la graine,Planter la graine à une profondeur adaptée et arroser légèrement.
Platane,3,Arroser régulièrement,Maintenir une humidité constante sans excès d’eau.
Platane,4,Apporter de la lumière,"Placer la plante dans un endroit bien éclairé, sans soleil direct excessif."
Platane,5,Entretenir et fertiliser,Ajouter de l’engrais naturel et retirer les feuilles mortes.
Acacia,1,Préparer le sol,Choisir un sol riche et bien drainé pour une croissance optimale.
Acacia,2,Planter la graine,Planter la graine à une profondeur adaptée et arroser légèrement.
Acacia,3,Arroser régulièrement,Maintenir une humidité constante sans excès d’eau.
Acacia,4,Apporter de la lumière,"Placer la plante dans un endroit bien éclairé, sans soleil direct excessif."
Acacia,5,Entretenir et fertiliser,Ajouter de l’engrais naturel et retirer les feuilles mortes.
Hêtre,1,Préparer le sol,Choisir un sol riche et bien drainé pour une croissance optimale.
Hêtre,2,Planter la graine,Planter la graine à une profondeur adaptée et arroser légèrement.
Hêtre,3,Arroser régulièrement,Maintenir une humidité constante sans excès d’eau.
Hêtre,4,Apporter de la lumière,"Placer la plante dans un endroit bien éclairé, sans soleil direct excessif."
Hêtre,5,Entretenir et fertiliser,Ajouter de l’engrais naturel et retirer les feuilles mortes.
Saule,1,Préparer le sol,Choisir un sol riche et bien drainé pour une croissance optimale.
Saule,2,Planter la graine,Planter la graine à une profondeur adaptée et arroser légèrement.
Saule,3,Arroser régulièrement,Maintenir une humidité constante sans excès d’eau.
Saule,4,Apporter de la lumière,"Placer la plante dans un endroit bien éclairé, sans soleil direct excessif."
Saule,5,Entretenir et fertiliser,Ajouter de l’engrais naturel et retirer les feuilles mortes.
Peuplier,1,Préparer le sol,Choisir un sol riche et bien drainé pour une croissance optimale.
Peuplier,2,Planter la graine,Planter la graine à une profondeur adaptée et arroser légèrement.
Peuplier,3,Arroser régulièrement,Maintenir une humidité constante sans excès d’eau.
Peuplier,4,Apporter de la lumière,"Placer la plante dans un endroit bien éclairé, sans soleil direct excessif."
Peuplier,5,Entretenir et fertiliser,Ajouter de l’engrais naturel et retirer les feuilles mortes.
Bananier,1,Préparer le sol,Choisir un sol riche et bien drainé pour une croissance optimale.
Bananier,2,Planter la graine,Planter la graine à une profondeur adaptée et arroser légèrement.
Bananier,3,Arroser régulièrement,Maintenir une humidité constante sans excès d’eau.
Bananier,4,Apporter de la lumière,"Placer la plante dans un endroit bien éclairé, sans soleil direct excessif."
Bananier,5,Entretenir et fertiliser,Ajouter de l’engrais naturel et retirer les feuilles mortes.
Mangrove,1,Préparer le sol,Choisir un sol riche et bien drainé pour une croissance optimale.
Mangrove,2,Planter la graine,Planter la graine à une profondeur adaptée et arroser légèrement.
Mangrove,3,Arroser régulièrement,Maintenir une humidité constante sans excès d’eau.
Mangrove,4,Apporter de la lumière,"Placer la plante dans un endroit bien éclairé, sans soleil direct excessif."
Mangrove,5,Entretenir et fertiliser,Ajouter de l’engrais naturel et retirer les feuilles mortes.
Oranger,1,Préparer le sol,Choisir un sol riche et bien drainé pour une croissance optimale.
Oranger,2,Planter la graine,Planter la graine à une profondeur adaptée et arroser légèrement.
Oranger,3,Arroser régulièrement,Maintenir une humidité constante sans excès d’eau.
Oranger,4,Apporter de la lumière,"Placer la plante dans un endroit bien éclairé, sans soleil direct excessif."
Oranger,5,Entretenir et fertiliser,Ajouter de l’engrais naturel et retirer les feuilles mortes.
Mandarinier,1,Préparer le sol,Choisir un sol riche et bien drainé pour une croissance optimale.
Mandarinier,2,Planter la graine,Planter la graine à une profondeur adaptée et arroser légèrement.
Mandarinier,3,Arroser régulièrement,Maintenir une humidité constante sans excès d’eau.
Mandarinier,4,Apporter de la lumière,"Placer la plante dans un endroit bien éclairé, sans soleil direct excessif."
Mandarinier,5,Entretenir et fertiliser,Ajouter de l’engrais naturel et retirer les feuilles mortes.
Pamplemoussier,1,Préparer le sol,Choisir un sol riche et bien drainé pour une croissance optimale.
Pamplemoussier,2,Planter la graine,Planter la graine à une profondeur adaptée et arroser légèrement.
Pamplemoussier,3,Arroser régulièrement,Maintenir une humidité constante sans excès d’eau.
Pamplemoussier,4,Apporter de la lumière,"Placer la plante dans un endroit bien éclairé, sans soleil direct excessif."
Pamplemoussier,5,Entretenir et fertiliser,Ajouter de l’engrais naturel et retirer les feuilles mortes.
Citron vert,1,Préparer le sol,Choisir un sol riche et bien drainé pour une croissance optimale.
Citron vert,2,Planter la graine,Planter la graine à une profondeur adaptée et arroser légèrement.
Citron vert,3,Arroser régulièrement,Maintenir une humidité constante sans excès d’eau.
Citron vert,4,Apporter de la lumière,"Placer la plante dans un endroit bien éclairé, sans soleil direct excessif."
Citron vert,5,Entretenir et fertiliser,Ajouter de l’engrais naturel et retirer les feuilles mortes.
Kumquat,1,Préparer le sol,Choisir un sol riche et bien drainé pour une croissance optimale.
Kumquat,2,Planter la graine,Planter la graine à une profondeur adaptée et arroser légèrement.
Kumquat,3,Arroser régulièrement,Maintenir une humidité constante sans excès d’eau.
Kumquat,4,Apporter de la lumière,"Placer la plante dans un endroit bien éclairé, sans soleil direct excessif."
Kumquat,5,Entretenir et fertiliser,Ajouter de l’engrais naturel et retirer les feuilles mortes.
Grenadier,1,Préparer le sol,Choisir un sol riche et bien drainé pour une croissance optimale.
Grenadier,2,Planter la graine,Planter la graine à une profondeur adaptée et arroser légèrement.
Grenadier,3,Arroser régulièrement,Maintenir une humidité constante sans excès d’eau.
Grenadier,4,Apporter de la lumière,"Placer la plante dans un endroit bien éclairé, sans soleil direct excessif."
Grenadier,5,Entretenir et fertiliser,Ajouter de l’engrais naturel et retirer les feuilles mortes.
Kaki,1,Préparer le sol,Choisir un sol riche et bien drainé pour une croissance optimale.
Kaki,2,Planter la graine,Planter la graine à une profondeur adaptée et arroser légèrement.
Kaki,3,Arroser régulièrement,Maintenir une humidité constante sans excès d’eau.
Kaki,4,Apporter de la lumière,"Placer la plante dans un endroit bien éclairé, sans soleil direct excessif."
Kaki,5,Entretenir et fertiliser,Ajouter de l’engrais naturel et retirer les feuilles mortes.
Kiwi,1,Préparer le sol,Choisir un sol riche et bien drainé pour une croissance optimale.
Kiwi,2,Planter la graine,Planter la graine à une profondeur adaptée et arroser légèrement.
Kiwi,3,Arroser régulièrement,Maintenir une humidité constante sans excès d’eau.
Kiwi,4,Apporter de la lumière,"Placer la plante dans un endroit bien éclairé, sans soleil direct excessif."
Kiwi,5,Entretenir et fertiliser,Ajouter de l’engrais naturel et retirer les feuilles mortes.
Figue de Barbarie,1,Préparer le sol,Choisir un sol riche et bien drainé pour une croissance optimale.
Figue de Barbarie,2,Planter la graine,Planter la graine à une profondeur adaptée et arroser légèrement.
Figue de Barbarie,3,Arroser régulièrement,Maintenir une humidité constante sans excès d’eau.
Figue de Barbarie,4,Apporter de la lumière,"Placer la plante dans un endroit bien éclairé, sans soleil direct excessif."
Figue de Barbarie,5,Entretenir et fertiliser,Ajouter de l’engrais naturel et retirer les feuilles mortes.
Melon,1,Préparer le sol,Choisir un sol riche et bien drainé pour une croissance optimale.
Melon,2,Planter la graine,Planter la graine à une profondeur adaptée et arroser légèrement.
Melon,3,Arroser régulièrement,Maintenir une humidité constante sans excès d’eau.
Melon,4,Apporter de la lumière,"Placer la plante dans un endroit bien éclairé, sans soleil direct excessif."
Melon,5,Entretenir et fertiliser,Ajouter de l’engrais naturel et retirer les feuilles mortes.
Pastèque,1,Préparer le sol,Choisir un sol riche et bien drainé pour une croissance optimale.
Pastèque,2,Planter la graine,Planter la graine à une profondeur adaptée et arroser légèrement.
Pastèque,3,Arroser régulièrement,Maintenir une humidité constante sans excès d’eau.
Pastèque,4,Apporter de la lumière,"Placer la plante dans un endroit bien éclairé, sans soleil direct excessif."
Pastèque,5,Entretenir et fertiliser,Ajouter de l’engrais naturel et retirer les feuilles mortes.
Laitue,1,Préparer le sol,Choisir un sol riche et bien drainé pour une croissance optimale.
Laitue,2,Planter la graine,Planter la graine à une profondeur adaptée et arroser légèrement.
Laitue,3,Arroser régulièrement,Maintenir une humidité constante sans excès d’eau.
Laitue,4,Apporter de la lumière,"Placer la plante dans un endroit bien éclairé, sans soleil direct excessif."
Laitue,5,Entretenir et fertiliser,Ajouter de l’engrais naturel et retirer les feuilles mortes.
Épinard,1,Préparer le sol,Choisir un sol riche et bien drainé pour une croissance optimale.
Épinard,2,Planter la graine,Planter la graine à une profondeur adaptée et arroser légèrement.
Épinard,3,Arroser régulièrement,Maintenir une humidité constante sans excès d’eau.
Épinard,4,Apporter de la lumière,"Placer la plante dans un endroit bien éclairé, sans soleil direct excessif."
Épinard,5,Entretenir et fertiliser,Ajouter de l’engrais naturel et retirer les feuilles mortes.
Blette,1,Préparer le sol,Choisir un sol riche et bien drainé pour une croissance optimale.
Blette,2,Planter la graine,Planter la graine à une profondeur adaptée et arroser légèrement.
Blette,3,Arroser régulièrement,Maintenir une humidité constante sans excès d’eau.
Blette,4,Apporter de la lumière,"Placer la plante dans un endroit bien éclairé, sans soleil direct excessif."
Blette,5,Entretenir et fertiliser,Ajouter de l’engrais naturel et retirer les feuilles mortes.
Chicorée,1,Préparer le sol,Choisir un sol riche et bien drainé pour une croissance optimale.
Chicorée,2,Planter la graine,Planter la graine à une profondeur adaptée et arroser légèrement.
Chicorée,3,Arroser régulièrement,Maintenir une humidité constante sans excès d’eau.
Chicorée,4,Apporter de la lumière,"Placer la plante dans un endroit bien éclairé, sans soleil direct excessif."
Chicorée,5,Entretenir et fertiliser,Ajouter de l’engrais naturel et retirer les feuilles mortes.
Endive,1,Préparer le sol,Choisir un sol riche et bien drainé pour une croissance optimale.
Endive,2,Planter la graine,Planter la graine à une profondeur adaptée et arroser légèrement.
Endive,3,Arroser régulièrement,Maintenir une humidité constante sans excès d’eau.
Endive,4,Apporter de la lumière,"Placer la plante dans un endroit bien éclairé, sans soleil direct excessif."
Endive,5,Entretenir et fertiliser,Ajouter de l’engrais naturel et retirer les feuilles mortes.
Roquette,1,Préparer le sol,Choisir un sol riche et bien drainé pour une croissance optimale.
Roquette,2,Planter la graine,Planter la graine à une profondeur adaptée et arroser légèrement.
Roquette,3,Arroser régulièrement,Maintenir une humidité constante sans excès d’eau.
Roquette,4,Apporter de la lumière,"Placer la plante dans un endroit bien éclairé, sans soleil direct excessif."
Roquette,5,Entretenir et fertiliser,Ajouter de l’engrais naturel et retirer les feuilles mortes.
Radicchio,1,Préparer le sol,Choisir un sol riche et bien drainé pour une croissance optimale.
Radicchio,2,Planter la graine,Planter la graine à une profondeur adaptée et arroser légèrement.
Radicchio,3,Arroser régulièrement,Maintenir une humidité constante sans excès d’eau.
Radicchio,4,Apporter de la lumière,"Placer la plante dans un endroit bien éclairé, sans soleil direct excessif."
Radicchio,5,Entretenir et fertiliser,Ajouter de l’engrais naturel et retirer les feuilles mortes.
Cresson,1,Préparer le sol,Choisir un sol riche et bien drainé pour une croissance optimale.
Cresson,2,Planter la graine,Planter la graine à une profondeur adaptée et arroser légèrement.
Cresson,3,Arroser régulièrement,Maintenir une humidité constante sans excès d’eau.
Cresson,4,Apporter de la lumière,"Placer la plante dans un endroit bien éclairé, sans soleil direct excessif."
Cresson,5,Entretenir et fertiliser,Ajouter de l’engrais naturel et retirer les feuilles mortes.
Mâche,1,Préparer le sol,Choisir un sol riche et bien drainé pour une croissance optimale.
Mâche,2,Planter la graine,Planter la graine à une profondeur adaptée et arroser légèrement.
Mâche,3,Arroser régulièrement,Maintenir une humidité constante sans excès d’eau.
Mâche,4,Apporter de la lumière,"Placer la plante dans un endroit bien éclairé, sans soleil direct excessif."
Mâche,5,Entretenir et fertiliser,Ajouter de l’engrais naturel et retirer les feuilles mortes.
Céleri,1,Préparer le sol,Choisir un sol riche et bien drainé pour une croissance optimale.
Céleri,2,Planter la graine,Planter la graine à une profondeur adaptée et arroser légèrement.
